,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3
,11,6.5552594656192,3.3183837467127,3.95027159369829,4.70418370768584,3.51077808909895,0.501631942448057,4.17536781793024,6.71431888222423,1.29690661064114,0.598445628777881,-1.75415675113754,3.43240076359962,8.99588480295324,-1.83767316211242,8.10026572802144,3.76396593704476,-1.45452528421447,0.253874722146975,4.52003208510405,3.38812848696716,1.67696276534207,2.00609357676558,2.70886622686021,7.47173106601667,0.180410993209534,6.13566157426976,3.59962247848534,9.22261662171877,6.2092028096431,2.88938554393962,0.976146915304071,4.49075949926419,2.71727807531443,6.15221453114782,3.44147713314806,-1.58140033651625,3.59835612205825,3.46397960200056,11.4017530398746,4.21205906161686,0.784379648242066,1.19227966677636,-1.47566623330067,1.59163695755296,4.86908667769376,0.822047593234402,-0.164249806683529,4.31000750807561,3.18846028116559,6.96952945989233,3.81143577422154,4.5024341342978,51.3736078771231,4.04703806180669,7.69997009293456
,12,2.34961342544193,6.24273772702099,1.91186574601534,3.15481900608029,3.1572590642204,1.25880884463504,6.34020826923097,5.93385147803535,4.59161427392019,1.42457793222684,1.77537432714598,6.23141405004753,6.44475541725615,0.836592517287045,6.82772699078229,1.54907954728515,2.38433571805399,-1.94239816110121,3.1982222443653,0.790346288620185,5.00282288167728,2.44768980807248,2.87751404470555,3.97906603828324,1.10490360541598,6.01806774324268,3.23115744411916,9.64840528392824,9.02120539593958,3.67072281387209,4.28893449453426,3.0320074664296,3.99495211166823,6.03071726930148,4.28219179917596,0.789649222242588,2.79078842649051,0.326388897037759,4.31126589684785,4.5881834505567,0.367965172601998,-0.198098404044837,4.16423858309372,2.41255069133422,-0.283891918048994,1.25068343036537,3.27758908892429,2.09969196987822,-1.33834320293136,-2.50724482421811,2.62486624511848,5.60560424237337,51.8780127159821,4.54401435254294,1.95479483009149
,13,3.15611894784934,6.40723583464842,5.41114971222714,7.17542954428882,5.91000794363572,3.03691460832579,7.96376556912901,5.06107584542951,0.78351908947252,5.90549046654542,1.42517764636932,4.1223522038099,1.28000139645352,0.438838346125067,5.00007391217484,1.51982571093777,1.12387829384124,-2.95299909704363,5.83586230682749,-0.662270414422437,9.24024719196632,2.17414465285765,7.60085427833883,4.66439437102736,-0.874339160916861,6.72517025619603,2.19997081860993,6.23339343745359,10.0833567745967,3.24347555999339,5.2338825460788,1.79503875247701,4.23916385505117,2.86043379119565,6.57836125709582,-0.0312967743529953,1.75421774567621,-0.567313485114937,1.69749611662989,3.25954612174382,4.66203072836288,-0.161908283090118,-0.606827684414384,2.76330443652023,-0.589054141022643,-0.576147890989432,0.759993158796533,2.08257431596758,-3.54400237585878,3.81574214252851,8.44738924713465,2.62283383867543,51.4422432742294,5.19371744167029,1.33526740580874
,14,2.61415847581217,5.52656159011894,2.69670681168054,2.98266040043654,6.83959485443211,-0.600382628158513,8.89748058196392,4.25651073430057,3.48616440297428,6.79476391510525,1.01073890338466,5.26497558740357,-0.599271834951651,4.40822469994464,5.57577641467969,3.43309139832809,-1.50770886686041,-3.55298089576445,3.85595545770821,1.25177021056334,4.61292452354337,3.39591852330204,4.27353189064297,1.1241462659259,3.78435402584137,6.798275031448,3.58853976871433,4.24752495181929,8.78212694129843,3.71072447092047,4.85895128261791,5.58355194938076,2.89497695373848,4.81217928420983,8.6078019158258,2.27563097269558,0.458542057577233,1.1640045768745,2.06989349279229,1.36387429559045,6.49431133762891,1.18068295211863,3.43742097821996,2.73513455087277,1.36140657579926,1.85147401888617,-1.28939698378008,-0.119197268576499,-3.5173599377722,3.39927117888874,4.23289619837396,0.211735732210855,55.083651071413,2.82664415301178,1.15203897091669
,15,2.48313269695852,7.97655211749225,3.4131557639912,8.6842659887684,7.73187622586859,-0.0666797262779255,9.75908047649743,6.13482913929814,0.347086418552408,7.11004234942811,4.24353647269254,7.29158159695135,1.03526582975777,0.119069808975837,3.45094138112897,2.41708830655898,1.62809210504383,0.104865591757971,4.25292445134801,-0.611502758758888,6.35783197224237,2.27799600441585,0.80949729815984,2.64208983808248,0.438684920603464,6.75599680712003,1.6676667588099,2.05214436336701,8.4856058863032,6.43658592504835,5.16339905519908,7.46673526080258,1.32347238915372,2.49600937755849,3.58922960314203,-0.761512716505422,1.21233579447153,1.19835458866328,4.03302541045423,4.07866904539969,3.62421879944031,2.78997710856841,2.36939988947279,0.262572066031225,-2.09531675449352,6.18853430834224,0.431333534225359,5.51763263447492,-4.64492845503355,1.34742520271175,8.8386543599313,4.48937690510775,59.9013260131146,-0.463896435897368,0.667482349606568
,16,2.05272787521547,3.49043689801556,5.16229663851527,5.05811523873899,9.06696884684804,5.44227745962735,9.76735961810482,6.86966995972898,1.03886007276242,7.41588654924559,2.69372738766288,5.8839082091622,1.7265828541631,6.33614998258463,2.51001696653854,1.11172473600527,0.325696935868109,0.105519543130868,8.83464385447041,2.39994181195607,8.28273379033135,3.02264228525883,2.64128146399207,2.2607141645085,1.46929881650294,5.22281856829886,1.37829621429728,2.4502904467231,7.78163953212606,4.42551773455534,2.16813706159746,7.13817115414061,5.83670573296467,3.10322667733226,7.00315526595023,0.508085894604392,4.21137404434148,1.24470303754515,4.43588500261391,1.52120755280384,6.56797724750959,2.71198405329157,1.52427321540972,2.24871823294507,-1.17584893908497,0.891642189591948,-0.166963561392095,1.58685559834203,-1.56715547271006,-1.45389753862173,5.8676099649083,3.06860141903053,61.7085396337529,1.15456606020871,1.77428312630112
,17,1.78702992274733,9.63110619241297,2.78292436985521,5.9093901530423,10.2736464069352,9.42969561516475,8.79433336004953,6.0624724176696,9.40849639141697,7.12079883800501,9.50038999890603,6.48602180168821,2.39779602448986,4.02923257768316,1.6527722451004,2.01224847595176,4.05050193843817,1.59173900093265,4.96999624852879,0.547274009655666,6.78263003727125,4.46337501578182,4.47803793225057,8.88437063432639,0.428246801127443,4.73602135611645,1.36972813649072,1.5131072274803,5.43153121903667,9.87605780752074,6.69198821630198,7.74345038550018,5.08682398734072,1.47598164732881,7.20649822336736,1.53684678323816,4.00763368083699,3.61700032570479,4.6625267484754,4.63283314490172,6.96352357213391,2.09561391897751,4.43545008976844,-1.10771587677937,-1.35950539370015,0.831848701930539,1.14701260510856,0.187489731011283,-5.46151476087334,0.181015165561348,1.41503684570216,4.78866706428653,64.70450295097,4.38041903133353,1.55114331395089
,18,1.27845568123803,7.85841260206644,-0.520018318342863,5.83272709637004,9.86089994020661,9.50799677582063,8.88648976866413,5.66932402271838,0.205183477973151,7.06080846072291,6.51614898413618,5.07855296150895,0.634222617553102,2.447438977817,2.06808895007938,1.42658893790804,3.33683007169157,-1.35969964677088,7.94983884170733,-1.20227795721075,5.06946865928921,-2.32442306539224,4.63855850180835,2.83350458021368,0.300227956689014,3.57208424092414,-0.433218095569373,0.244970655070271,2.60523726460906,3.06529657347664,8.06909059899908,8.71174104994498,1.13503873157621,2.5479631210369,7.32709289141318,-1.0638560709067,6.54583998685575,-1.70161727607046,3.43088735930072,2.63501738097875,6.45806114261541,1.11760637325688,3.13465871718654,-1.94013139501749,-3.18128323579549,1.35100583339802,4.04723802659373,-2.77614782880119,-3.41148193418394,2.33162836593101,5.55128470539239,2.86805320985331,65.8255592338573,-2.51630616295915,1.89737753853327
,19,1.70649990120834,7.15784737404329,5.53343198421135,5.37034136751648,9.80604249522457,8.48951968570827,9.53084291590024,6.03151731555484,3.00843033833962,7.22265509530295,3.99939360795634,2.60144559871939,1.40385575405101,1.72426459109238,3.05576772266628,-2.74280728833764,1.18489084135672,0.526735372953226,5.06569728647173,-0.990837928719429,6.73544593472752,-0.412471226761227,6.248964424306,1.88686592030263,2.2652621921311,2.73172766305788,-0.855261320442423,-0.381360818241319,0.55105104955995,4.20093613784229,9.15901358116192,7.8543270518785,0.0310736505593923,-1.52049264555444,6.04949470135822,0.766246682829205,2.17003414953842,1.69025388793762,1.84181222987415,3.28725359321652,0.881144945456526,1.44097913120171,5.3661003376119,-0.761696853099693,-0.232040518154918,1.27099914678365,2.9442192668912,-2.1005635428337,-0.393459064095168,1.78155992630673,4.87196686648258,1.30361557605147,64.6653792233346,0.972045266743407,2.15388780888816
,20,0.882205497264901,4.37336035399085,3.08404019810177,4.67302699711505,8.85038066121418,7.9008178989831,8.32948267856394,6.6839052906621,0.956709257855891,7.39470944953731,3.86141019546312,2.27158820045224,0.0407950668121278,6.09863545154167,1.47379605928109,0.0902434104391432,2.61713592133674,-3.39421412703905,3.82520683932262,-0.13413273539345,8.03943228761727,-0.175866067808784,4.58818534361581,1.09115025851133,0.726816372467965,1.58159195784356,5.73934417221471,-0.9233511207226,0.113835793940931,6.64021868476129,10.0093195906009,6.43434813369277,0.492872523446446,4.26756172669002,4.5299943904779,3.5021693127992,0.970244140083196,0.391011934320886,1.92376836579448,3.14245154518949,4.41466564840084,1.6909719399802,3.75976031257733,0.596174575585337,-1.73538345614998,0.574026558273241,1.15587256131903,-1.09016531284169,-2.66170915456405,1.1900516280798,7.99666361733944,1.93874694238139,67.5523802369821,2.11603051893599,3.06154156201031
,21,0.359943540733184,7.06495962113786,0.133711239381682,3.33532338075202,7.90737621291207,7.06185891189489,6.46532716093437,5.16227497199255,2.72473795925225,8.33654356433256,6.74630046379025,2.15083421120486,1.30124650407682,-2.1473241637832,0.181161009753093,3.57731170530678,0.607707149614725,-0.55265990235057,5.22330097614758,-0.331490751933416,4.45158268992327,2.33795968517052,2.83244640872863,1.12993758221774,3.15445174390607,0.0274985540501499,3.20771903144851,-1.13103845853023,1.55889819878,7.77626816618704,9.82058067637824,4.46903526742093,1.1440467896723,-1.78933818703035,3.92198127490201,3.0236402494038,5.68433462468192,-2.0352658544889,0.304313619580171,0.965993810022155,7.09412121292189,1.39216473777333,1.32088765641629,-0.756951863681024,1.56359453931054,-0.125290261207435,-0.807561118661397,-3.91011356292483,0.950354802715083,0.428102982580185,3.53597785103238,-0.659122977969673,63.1939350438424,-0.44997304538947,2.82072042047063
,22,-1.51462903316769,8.67102929806561,0.623009435164931,2.09836644415615,7.29644958471514,6.58444423700106,5.81650800830418,4.46811207755763,0.886777261252973,7.97651831968308,1.17678278910535,0.577383970860713,0.40981521560434,1.45897073493234,-0.912766062402473,3.20144147389692,7.22998318322561,0.121949987577864,-0.475759900591129,0.0779569117667052,3.42251689703122,0.178171919516444,2.61028280204558,1.61516854648153,-1.44501538656914,-0.462747854078771,0.328617513088375,-2.48871416740606,1.25895707950228,7.23320066525897,9.89336962039048,4.6268008788467,1.81394190404232,1.63709815044012,4.27964309623136,4.65961208611498,-1.39627315867165,-1.56579293816185,1.0092388808583,0.838611436604879,7.12512575966593,0.404113698746945,0.122063396218437,-6.24410949690036,-0.163170865197571,-0.0616188683258467,-2.86498803059339,-3.93870637503505,-6.13550384281871,-1.56009365436648,3.38752582441551,-1.36824474586683,64.5360035402596,-1.5545689841847,2.05070216959257
,23,-1.36499128433403,5.99006221037856,0.644437544084667,1.02935451270863,5.87281076945995,5.01537607062134,5.10450406832554,4.9201434762305,5.65651917401601,8.71468140493516,5.67758829879676,-0.820423203308413,0.932688491926456,2.92827548919725,-2.29587227084585,3.20037226997465,6.90753312409015,1.94971412057248,2.76634586824275,0.164031550338677,2.8879086904955,-0.221311463564234,3.1057697880489,1.98764682685093,1.03678544539389,-0.982829554664174,0.893771525861212,-3.05980701666249,0.714578092582542,6.78516554307271,9.4767787999067,4.63593255157063,2.77797830054108,1.41332556861153,4.86634474984582,5.51412496067996,0.780594622521676,-1.87350598832836,0.784236686021207,4.73495314624961,5.50427306952937,0.385344679828298,1.86146073026976,-3.07968358766902,-0.128679321512209,1.33188036207139,-3.18520114835974,0.542143557591771,-2.98156249284057,4.40976033263541,3.32360206830617,8.10430738883997,67.8497236487556,3.16377196877875,1.46156575462737
,24,-0.375292006299636,4.1402972125746,3.08740657456565,0.934369319086272,6.88893213323066,6.70410666137271,4.68563398096133,5.1601879397061,5.49455871942337,8.09544850495589,4.76725503833813,-1.83935086548354,1.12355302671919,3.71082705328096,-1.46525798545781,3.71828860327287,8.00050102200142,5.22738411238151,6.5476985471505,4.35009811161672,1.7324803596642,-1.32572809994508,4.40606886210753,-0.0597001528788799,1.2335492024099,-0.082518916480088,2.56253490010931,-2.08824537054655,0.254029181973541,7.08603488474667,10.7428267613514,4.52788754751039,2.12920679521282,0.38374488875661,5.13922491585739,3.61650206246395,1.18888716117666,2.41879849247289,1.29266410377568,2.53056937009524,4.07640533771898,1.17826040715696,5.09190015157128,-1.75586863115268,-3.97027246597145,2.79580470153163,-1.20776876683885,-2.70762666342125,-1.3371461777524,5.92373537497951,3.21346833672821,-0.474696526628577,67.8524075729511,2.26713169451841,1.85784592295507
,25,0.936464014550287,2.70648344715316,3.48807860153556,2.06226219536484,6.54972258228311,5.39261936849986,3.53505966640068,3.97080760700934,3.78708896108128,8.62881283809793,4.14654622477989,-1.02164857401158,0.678714442306045,3.45537205261538,-2.05414145806435,4.67309186197826,8.12112689144381,2.29521476950822,3.36873426610555,4.18252808249372,1.00295761566273,-0.365758452384853,3.51292293430894,-0.826502608238116,0.0909988888720363,1.15645509139085,2.0221908813384,-1.89595580700628,0.912656354451883,4.52992397320698,9.86539538420478,3.98165067345296,0.471609648075173,1.52492130314158,3.89406455141367,3.6597301864449,1.03751295045261,5.34277245319026,0.0929898054898028,4.00011044677012,2.36591354079807,0.610711986321348,-0.315400017379488,-1.41224719074216,2.02821453842216,2.96971415862769,3.22496724663688,-0.174788132582307,-2.90768371425065,5.75989369132503,2.31735064278564,1.63973934141889,68.7971878973672,0.636946202508625,1.17622589550941
,26,0.642303006550113,1.95949279567867,4.9090580123725,1.34403829208486,6.56443054524986,6.08293229986718,4.62839822616312,3.64446826901728,2.22421435136675,7.12043036546387,4.1086851120499,-1.25190431229157,0.887387063474762,3.24328498089881,-0.809878520935702,3.40035018708659,8.14166352640253,-0.675597068413936,2.70023299822818,-2.5931188234872,1.15681581610412,-4.42118382458057,2.0977009569915,-0.846929833356777,0.0619101472193506,0.392638639179647,0.539248294640705,-0.756167152440867,1.99761366076821,4.57347427765778,7.98247986485694,3.29093510251748,-0.862273629371581,-0.0718901950840518,4.80512670807184,1.17748136200589,0.448993121730382,3.74588151057242,-0.700930684700324,3.94844267486815,2.47818106501109,0.239286470261201,0.922217443127465,-2.84060026309817,-4.79340244763171,2.77070809911553,0.30807274543713,0.191594904947124,-5.10195473650401,4.15387380436308,2.71010177189813,2.23825357499087,71.4132106782777,-0.19919090658459,1.59997686532627
,27,0.0783593592940027,1.28709608636063,6.45199219497363,1.17833196034887,5.87378373747288,4.48542915509188,4.25176260159666,3.36727525959456,-0.208622981633349,6.32264327562446,3.14273747245261,-0.470110576437795,1.11424124088762,2.22150730467456,-1.14406948994398,2.97875263794822,8.05865743824658,1.35831751834758,3.25116544505575,0.00659344815494478,1.87748221773063,-1.07765059708709,1.01957821253078,0.0482419889647948,2.55291162358935,-0.521239520239457,0.431619114258562,-0.802066684023885,2.37896773387289,3.63528806959872,4.52089607926943,2.73806019110558,-0.0195998141433241,0.178026746892556,3.70238380818212,4.13194642562894,1.05002952637703,4.22259518180636,-1.32129723387425,4.25194889542809,1.46685448725505,0.445685906924458,-1.89756206057382,-3.17324003472777,-3.2485528595812,1.47214960648686,0.183530313587653,1.74025162174121,1.04528674078301,3.43686456722253,1.83234226356899,0.696939712590544,71.7955614797816,-0.445748419925621,1.65766275017055
,28,-1.50471243720601,1.23132080522858,3.12450558716,-0.625823523501822,3.59155207745107,2.29548921414501,4.72978107558614,4.28674600482206,-2.54621281451045,5.52013650132812,2.35929823093663,-0.867190343288712,1.11247220985479,0.382618395327427,-2.31145773243543,-0.143969947259848,6.26468237736284,-0.955983873810965,2.14973535690388,-1.01668813198239,1.40438611814974,-0.978285810120724,1.32571170395704,0.334450835858055,-2.79011037331702,-1.84984309727239,1.34038359305608,1.07579854211993,1.79840733090866,4.37365067837391,1.92419024226137,0.830753099056741,0.351206741788853,5.60661536987254,3.57871993270267,5.99036451553911,-1.70976089958185,4.09873516113066,-0.890642956683829,4.86662176967957,2.66696928090687,1.42562475329123,0.380135300888014,-2.81445698043945,1.5818158600573,0.227504448919262,1.43721078221324,5.37792476966524,-3.50061057731955,3.30421625315497,0.663648619187976,-0.0468978437193073,76.2187348984362,0.816293342249537,2.52507759779746
,29,-0.88978972083108,1.56333457304027,1.72185405016065,-0.0539244532892553,2.01693934274347,1.32797815843575,2.30306663222852,3.14762645928658,-3.77705123322494,4.27037363562143,1.25389057025829,-1.7227236933248,0.020493913692917,0.513549690976864,-2.59798409920086,-0.0386536842433998,3.10833658009763,-1.66957513377929,1.81184499153005,-2.76794480306853,0.580864472493734,-0.889038690759662,1.33633878128527,-0.590401589082224,-2.24105826020332,-1.49683935510181,1.31362767149024,0.261092693106699,-0.0716522238826656,2.64818133997308,-0.108654045617944,-0.479877665250873,1.33089033400771,0.119139860687028,-0.318106286527078,0.845694704988546,-2.14661805444136,-1.12745668662819,-0.901186598890793,-1.00541769021811,0.147182491482909,1.10437086486036,3.69930080911445,-0.235200255752716,-1.53234631897931,-0.899532855151544,-5.95783544718097,0.121876381670063,-1.02629381488396,3.50896752259102,-2.12124619423715,-0.664281110896506,72.0058713047538,-3.00448927334492,2.74584284853487
