sample_no,drying_treatment,date,cc_treatment,pre_post_wet,median,iqr,day_elapsed
36,initial_dry,2022-02-16,no_cc,post_co2,2820.0664862906806,2289.2469147315705,NA
36,initial_dry,2022-02-17,no_cc,post_co2,2318.170917499816,278.62166703468847,NA
36,initial_dry,2022-02-18,no_cc,post_co2,2732.4702287396476,272.59654873217914,NA
36,initial_dry,2022-02-19,no_cc,post_co2,3129.233797721259,477.8171432790473,NA
36,two_wk,2022-03-08,no_cc,post_co2,470.6318771422805,32.15909951746113,0
36,two_wk,2022-03-09,no_cc,post_co2,5669.384592982378,2175.258743782658,1
36,two_wk,2022-03-10,no_cc,post_co2,3010.5084443513974,559.344210506581,2
36,two_wk,2022-03-11,no_cc,post_co2,2086.8779595414644,872.282611172019,3
36,two_wk,2022-03-12,no_cc,post_co2,2247.758299355757,370.4411846819794,4
39,four_wk,2022-03-15,no_cc,post_co2,611.7628326155432,297.206497390673,0
39,four_wk,2022-03-16,no_cc,post_co2,4817.403070004564,1719.0492472094516,1
39,four_wk,2022-03-17,no_cc,post_co2,1445.0666453838026,349.43167215183803,2
39,four_wk,2022-03-18,no_cc,post_co2,1162.898242545579,688.9643384918336,3
39,four_wk,2022-03-19,no_cc,post_co2,1370.5382055797925,754.0148121143567,4
40,initial_dry,2022-02-15,w_cc,post_co2,201446.15290320734,4087.942236469331,NA
40,initial_dry,2022-02-16,w_cc,post_co2,112508.65549988361,21320.87955045751,NA
40,initial_dry,2022-02-17,w_cc,post_co2,124552.23153179552,18255.436731937487,NA
40,initial_dry,2022-02-18,w_cc,post_co2,281773.86553234624,62259.10138522822,NA
40,initial_dry,2022-02-19,w_cc,post_co2,127032.01398636156,19460.72435310461,NA
40,two_wk,2022-03-08,w_cc,post_co2,545.7903875709886,60.926114513241714,0
40,two_wk,2022-03-09,w_cc,post_co2,15788.324455975526,1924.6934471241257,1
40,two_wk,2022-03-10,w_cc,post_co2,14707.54699252268,2079.310191026123,2
40,two_wk,2022-03-11,w_cc,post_co2,15940.338929369638,9879.669901288784,3
40,two_wk,2022-03-12,w_cc,post_co2,12603.417814207995,3191.8131524455584,4
41,one_wk,2022-02-23,no_cc,post,3842.737731114128,548.4600528059254,1
41,one_wk,2022-02-24,no_cc,post,3524.609088206153,888.0594449922673,2
43,two_wk,2022-03-02,no_cc,post,5162.761338824442,567.889156207596,NA
43,two_wk,2022-03-03,no_cc,post,3935.902125045485,1477.3624114758777,NA
45,four_wk,2022-03-16,w_cc,post,111548.12146695516,44243.76235363251,1
45,four_wk,2022-03-17,w_cc,post,77787.76931675071,70779.4662878653,2
46,initial_dry,2022-02-15,w_cc,post_co2,128813.48176702803,7394.771573574442,NA
46,initial_dry,2022-02-16,w_cc,post_co2,91838.44059406192,21419.052980554086,NA
46,initial_dry,2022-02-17,w_cc,post_co2,89640.35157772002,20056.73774464859,NA
46,initial_dry,2022-02-18,w_cc,post_co2,224603.705022657,22065.968922698725,NA
46,initial_dry,2022-02-19,w_cc,post_co2,108166.07851878207,23627.187673655964,NA
46,two_wk,2022-03-08,w_cc,post_co2,578.4828159402124,12.707070752597588,0
46,two_wk,2022-03-09,w_cc,post_co2,14439.214322677391,3213.4233561580586,1
46,two_wk,2022-03-10,w_cc,post_co2,12583.415966951,4517.1424283203905,2
46,two_wk,2022-03-11,w_cc,post_co2,10669.008937692646,2483.4287562331847,3
46,two_wk,2022-03-12,w_cc,post_co2,10507.624417022507,681.0892518622641,4
47,two_wk,2022-03-02,w_cc,post,93525.27712801892,14457.261310758899,NA
47,two_wk,2022-03-03,w_cc,post,93271.29285154724,30644.03430969223,NA
49,four_wk,2022-03-16,w_cc,post,58225.40328738148,29793.539203026565,1
49,four_wk,2022-03-17,w_cc,post,28082.91450418945,345.6403297972611,2
50,one_wk,2022-02-23,no_cc,post,4282.165404125775,600.1051817704492,1
50,one_wk,2022-02-24,no_cc,post,3446.363826218122,175.34655957087762,2
53,four_wk,2022-03-16,w_cc,post,54563.91457375964,4488.17323982095,1
53,four_wk,2022-03-17,w_cc,post,28520.30597926839,14410.996908261568,2
