sample_no,cc_treatment,drying_treatment,pre_post_wet,samp_cn_med,samp_n_med,samp_c_med
100,w_cc,two_wk,pre,19.64415168762207,0.3984217196702957,2.8697532415390015
101,no_cc,one_wk,pre,19.140792846679688,0.36945614218711853,2.6937698125839233
103,w_cc,one_wk,post,19.12393856048584,0.40620487928390503,2.9835580587387085
104,no_cc,one_wk,cw,19.67454242706299,0.3498062938451767,2.60326087474823
106,no_cc,four_wk,pre,18.736262321472168,0.3892778307199478,2.5583555698394775
107,w_cc,two_wk,cw,21.723048210144043,0.3439124971628189,2.8217177391052246
108,w_cc,four_wk,post,18.540061950683594,0.36958301067352295,2.8429644107818604
109,w_cc,one_wk,post,19.414825439453125,0.41027969121932983,2.825429677963257
111,no_cc,four_wk,cw,19.285362243652344,0.39276643097400665,2.6604429483413696
112,w_cc,initial,initial,19.00687026977539,0.3995620012283325,2.7845550775527954
114,w_cc,two_wk,post,21.46193504333496,0.33832667768001556,2.7368414402008057
116,no_cc,two_wk,post,22.06435775756836,0.31526675820350647,2.6029627323150635
117,no_cc,two_wk,pre,21.38802433013916,0.3161208778619766,2.5416054725646973
118,w_cc,four_wk,pre,22.784823417663574,0.34939034283161163,3.0094205141067505
120,w_cc,four_wk,cw,18.61096954345703,0.3719526380300522,2.8725388050079346
121,no_cc,two_wk,pre,22.356860160827637,0.3257663995027542,2.733578681945801
122,no_cc,two_wk,post,21.871705055236816,0.3108992427587509,2.53964364528656
123,no_cc,four_wk,cw,18.69239044189453,0.386679083108902,2.5316598415374756
124,no_cc,one_wk,pre,18.672715187072754,0.36354291439056396,2.5819449424743652
125,w_cc,four_wk,pre,18.78909969329834,0.3619910180568695,2.821501612663269
126,no_cc,four_wk,post,19.39323902130127,0.3432445824146271,2.7597731351852417
128,w_cc,all_dry,all_dry,19.45892333984375,0.3805249333381653,2.718220829963684
129,no_cc,one_wk,cw,19.259629249572754,0.3724679946899414,2.5035271644592285
130,no_cc,initial,initial,19.155129432678223,0.3493950217962265,2.5375250577926636
131,w_cc,two_wk,pre,22.288371086120605,0.3180200308561325,2.653913378715515
132,w_cc,two_wk,post,22.30818748474121,0.3405917286872864,2.8665167093276978
133,w_cc,initial,initial,20.21240234375,0.40346893668174744,2.892309069633484
