,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A12,B1,B2,B3,B4,B5,B6,B7,B8,B12,C1,C2,C3,C4,C5,C6,C7,C8,C12,D1,D2,D3,D4,D5,D6,D7,D8,D12,E1,E2,E3,E4,E5,E6,E7,E8,E12,F1,F2,F3,F4,F5,F6,F7,F8,F12,G1,G2,G3,G4,G5,G6,G7,G8,G12,H1,H2,H3,H4,H5,H6,H7,H8,H12
,13,0.740470813300817,-3.72848018494096,-15.6951861813723,-23.2345829937253,25.2219487329194,100.88841254338,-22.6712860886951,-54.2667310963934,30.7345483180084,20.0624997222321,29.1031745784167,24.3136755597252,27.9664341915204,27.4110622743638,23.7341459840654,30.7538896295973,22.6315619466845,16.253805895396,15.3659386045097,26.3781384228982,22.7733665440774,24.0119975753519,21.0821321636399,30.3717779005497,26.1707620744237,33.0484612390883,-42.6344545473853,22.7416701100547,26.9158801807789,21.6199147109073,26.1460099601609,27.9797601159803,27.4222188965573,27.4025670967412,13.5556067503944,-122.85205292655,-6.82174547683417,19.7938774480926,89.2614344103631,103.257345868675,113.534177661269,118.191484739927,95.6549736886641,47.1205140374209,1.22069834194053,-66.510044968948,20.170488699026,22.543214580056,25.7539976139451,73.1394712195879,69.1542356518917,63.6469747558131,59.7547552408764,-38.0953709357095,-64.9593523829012,8.82522488562972,14.7847872531474,8.77344890261975,37.8015187685073,1.69993001104376,26.1188428831128,20.8915112684936,-61.6520926728404,-30.9996623313832,6.67860793657428,21.2505931622359,56.1055526752625,51.8540787030429,38.2135560422334,9.68619082259329,-55.075678278944,-1.31232124336429
,14,3.33640515366278,8.53459280538573,-2.15152289632715,-16.1944473024073,24.2441842290382,140.01122651313,-5.87573423443928,-57.1493973512565,13.9018651224155,44.5338361208046,54.2211514461719,45.5863511880557,61.7076475130284,55.0503352296237,44.4647466236138,57.4872128546635,41.230497585238,-5.47720768165755,33.1133206347195,54.6704742520251,57.4922439355646,53.6178442819178,48.2705595194047,62.8975473382952,52.4612005457634,61.7656954196564,54.0940493818284,46.5210309131621,51.5339262241696,49.4574580790832,54.1264875422098,55.0520871585054,53.0165357634583,54.2049178183388,33.1249244808359,1.38641623754893,6.22912967170578,48.9171544515743,152.643856883308,167.655239160027,178.567227668674,190.797321483023,167.879156861928,84.7903615413452,-16.2993871958688,-61.8826926236575,43.2468321313286,49.9359452067852,57.406779808623,135.902494811581,125.304590100615,110.39303936956,104.456885758401,-59.8643373525797,-68.9325884973691,30.6585855784315,43.4025609035884,35.648518742415,71.4750005600672,20.3096069416397,51.4894811667605,57.1824853970625,-72.9866616425129,-33.9784788126772,19.8929617594372,40.0569945131792,95.4449663995865,99.5016613346456,74.5408750917277,27.403474547621,-66.3453417248506,-8.55523896451086
,15,-0.303553186211047,28.8941897788009,18.1599537403431,0.445052474466593,50.9280902963537,194.100007974971,-7.77572505943817,-10.9350202301439,5.80160864581376,85.174374042384,105.376635296244,81.4025836442606,107.820195985799,101.990164775291,83.161750107186,93.1124647482579,63.3759909237156,-13.7790636009654,62.6745427557753,104.31575745857,112.170152267246,103.415113096005,99.9372772976681,113.67321287074,98.9153131188809,101.96265833374,35.3651390952373,78.622408996976,96.586291242987,87.8893243869552,97.0794822928951,99.7679824644451,103.036164546343,95.8878997713528,69.3857501569469,2.58520741485609,33.7478243176415,99.7448682516019,243.621001613451,264.484618016354,280.633621605896,286.15093391893,268.581881761188,143.785461562519,-33.762938293336,-58.0033490931692,83.2176673188678,100.468338107648,103.157044778061,215.945746894495,199.020919489674,185.030238977411,172.307301793391,-74.8225402820867,-69.6116188753886,71.7299012697267,88.2598945665936,63.4016777421416,130.967795057718,70.5756522316142,95.442539835507,100.003699987815,-78.3357831221879,-49.1857547036202,49.7670826433969,75.8388994279967,157.461747701528,167.570247805202,130.536497872239,49.2110387783814,-83.0945348916107,-8.444946579516
,16,0.528978254604226,67.1272033942519,62.3356198141128,39.6863518790756,96.374777385327,259.256521007456,63.3638094256698,-14.6900330143221,-7.14192448714994,133.159979438452,170.641903958289,142.294250379709,178.504033944593,168.251715748865,136.170352241633,153.350237585694,98.8470737590637,-13.3995067901806,102.278767802454,174.470648483926,184.955458106193,179.575384251552,171.968008783146,186.598079027943,174.724463198712,173.331008091167,11.7221882993558,129.104219186919,165.204494113144,149.563812055502,168.166848434456,161.394231710578,178.078281776989,154.478072803982,124.418646975343,-21.8394121457577,71.7253673031205,166.172453710373,333.749511876451,362.842550555403,381.352185746265,380.452565141502,370.674658545307,245.444752354704,-105.500586765274,-46.663532048758,140.952840769408,164.235740954539,176.321610370754,314.204221065099,290.133466843058,277.352398936865,262.218818099449,-84.8032319816516,-29.0415703939543,136.593867822914,157.356124859435,126.427094023186,210.503545863576,165.585600284036,163.002261013892,167.808634538043,-72.2355603938208,-55.86968055539,103.309989089423,138.409796112879,235.493147092885,244.833920870726,201.098304121746,157.680173756319,-95.9338057783275,-7.97491282504052
,17,0.643508059437409,123.212167089424,129.490447408934,101.329282029945,176.090086842203,339.778068461507,83.6759121450377,0.458438626382758,-23.6901982235822,208.599097024186,252.083227507674,212.382776409907,269.666996042204,261.629661837321,216.155767977878,234.295524618172,144.828153068156,-30.4126138251968,155.761353595942,276.936127311806,285.685664399711,272.250034780342,260.767602419772,276.821335981895,263.308243797259,263.497087015387,-7.64322101018433,194.507075891335,254.171856684365,235.831596800302,263.484343627833,256.890060411933,279.250272455391,249.488382096476,199.516334864274,-34.6923392742706,175.342933552915,264.995152358756,420.8672573396,456.593175925961,476.808699694284,467.9828465963,466.398930822467,356.805913204812,-14.0363241000582,-15.2465000037319,233.199364470751,253.572402335859,276.237279483924,407.660092105215,377.157386341727,369.720692987383,348.415843911263,-80.9196050617243,12.7199842517098,223.404540024856,258.578668512602,209.529466480125,316.545966489748,232.730366105694,257.341916358065,260.605562503531,-52.7491931556115,-42.6753190216223,153.645401000192,210.922539966359,307.614574266321,318.742409406742,271.516890379086,234.100301050751,-108.351954610443,-3.88700248393161
,18,0.552154680873628,192.835098948446,217.499474384033,179.967056880626,260.672489446002,432.470332111926,128.788524577423,-3.56452818389926,-16.5318219563142,281.905421765803,330.655586206773,290.312912326174,360.20333159795,353.994645416185,297.862691491856,315.28493013691,209.649796561177,-35.8517195398222,213.468107108112,379.074523722784,382.481588237808,361.546256743506,346.692698292994,364.582689944223,354.23335028989,353.492458207697,-6.6379914492195,266.128640032019,340.439977567438,322.596640951748,359.824737467129,354.871098892148,383.306745475412,346.752050513689,291.701851878972,-54.0649393257359,271.185347609349,363.032051913984,495.48321688597,537.331219549232,557.102112356002,541.837917588961,547.671847677183,479.91898673989,-18.1583316732999,18.1709841581446,330.486064536289,342.598814661169,376.315712082203,488.840697361641,453.305036453899,455.688406811449,425.862984749539,-69.8082211077458,41.3549645095163,318.47641097465,366.400965435298,315.894935193606,424.957171793095,335.928539817887,355.314814222515,360.13709868809,-11.9010795862791,-31.7003751198467,271.234714383913,302.33693545467,370.494214700116,385.673849267089,337.327088189904,280.852533028185,-123.495504668969,-2.4684214566737
,19,0.735957318947385,266.68200957316,311.336103802265,251.445524197002,342.917939305563,531.573816341082,194.666798514557,-18.250560221928,18.7382708113291,346.966327943146,399.610228404517,356.316217146046,440.025085052737,438.588985462579,375.939312754904,391.113024773028,274.807367311166,-67.9872011193738,263.799166075368,472.833524838648,468.210716036301,440.64079932394,424.951703447461,442.625701720716,438.835596143826,438.837534760532,-33.8871669752375,331.374016912025,420.183878358133,404.13924509128,450.951371246058,451.130456418126,480.99397313253,439.065015650701,378.360718115955,-82.0501531144641,324.068262653039,449.676366649201,554.884550888091,598.673342413421,621.622578154315,598.995613989031,605.663722615018,593.513642878569,-20.8309627280801,64.7484894647214,424.591325514214,427.225790883259,469.0952855354,549.806465580455,510.114303971231,522.330246974763,486.805707375515,-87.2655930817077,67.5610594258205,404.608819027111,472.9531696732,415.385100956513,528.750777717958,430.222071302578,452.960393914656,458.376662896823,38.2010617460955,-27.0679956738586,369.998480014293,389.3216148913,418.619680722214,438.2108956458,393.146494290514,322.567861149203,-141.053482268741,1.76052036141527
,20,-4.13083482261209,330.05878766157,394.529490506552,311.164543894252,418.465582977967,625.931206547052,265.564174835656,-35.7864296088414,-4.78847560624945,396.073462438397,451.064156818639,407.559310432781,502.802821758276,505.042897314219,439.348176424879,453.337337302665,338.557561254871,47.9338420679783,301.460394142749,551.18539807803,536.252625468911,501.712110501953,485.507233130489,501.144645128158,504.763378255372,505.59734436954,-47.6245587681883,385.283248371373,484.248588867583,470.369768529239,523.291278753218,532.243534839121,559.019145489696,516.081711472622,456.098395523624,-104.18672413188,375.54232990184,520.204552360882,592.349593580747,639.141928625394,668.206440804042,638.747809406983,646.337923568884,688.208067340546,-9.0123149549031,97.1812223359525,504.537901993585,495.302482290542,542.776300871262,588.41138566207,548.747040521284,567.406115912082,529.211467351981,-112.556985242556,91.1998092897752,473.305991487856,562.710852846494,499.627159956261,614.283087876499,507.014138288734,536.544573533643,544.194138738502,74.0760969356343,-13.5724345025769,446.953096039163,462.967347991471,451.526274212027,476.118932916646,432.691477101895,353.868482434363,-168.998722958175,-4.69479225935538
,21,0.772927796266686,377.109737753916,456.127005130865,354.024208561666,482.538159262349,710.68132849809,354.819965321919,1.71156000078554,-17.0123157509192,427.30554051014,484.532682115575,442.650778835419,544.496993151827,550.700725610612,483.797802080556,497.090234090458,396.188365633646,22.7688671689607,329.62553549517,607.430370711996,582.28307017074,541.420085551225,526.769178623652,542.393631591528,547.669439517847,554.912402637236,-61.4047094417938,427.34710734668,529.185800447448,516.36732714202,573.32835051283,593.787783038416,614.110575578084,571.73446109096,513.260073147115,-28.7967995006607,412.695445821722,567.84385909956,614.411558261006,665.62639142532,698.856620934332,664.566557144789,668.686868709095,755.564004265257,-8.78549462047795,113.103803570882,560.776699174903,544.032552382866,595.300948880717,611.155082045389,569.418376576295,592.949844070855,553.41331834627,-126.212774738525,102.846839849696,520.304041345356,626.816948352239,564.348227966149,673.538581821771,558.420635119978,599.336736613065,605.503900064666,99.6260765371494,-1.11433215186935,503.380721143598,515.215228816331,469.750971262476,497.391839531612,458.82998263028,371.724278158881,-0.866805809350353,11.497570798811
,22,0.0916310165025607,413.744615048891,496.565503462879,376.815488043817,528.748592735594,779.527656194942,444.970809575079,32.601396413344,-28.6917734933545,444.334378643268,504.655148029532,463.281376499018,568.493644816967,577.088265971692,511.90978916765,523.749936826542,442.907470901978,-15.3998855777459,348.305497810643,644.202099642134,610.731774589493,566.229234685805,553.812613885191,565.788189299827,574.662375075927,585.809436153026,-66.9464025151779,451.518903954662,554.206946627088,543.677460396018,603.414060043285,632.504168929741,647.765715409631,607.739103168832,551.113050309972,-46.5776528093302,438.212972003629,599.503968086481,627.211947551393,681.820455480021,717.649725362005,680.887455289465,684.578709609945,799.388849524572,-23.0477339660483,129.463603447868,597.09214164712,571.492582083884,625.712865240832,621.850086727289,578.445914692673,607.40732398075,565.32964804715,-103.061512264575,96.4367165328583,547.778316275456,668.690479732341,605.977685172358,710.799241252543,588.474255471553,640.069215830315,647.274114125901,126.358391835249,14.4512059546096,546.522993616023,545.788809893278,478.381749906108,507.190187693323,473.292783930109,384.348915784694,54.966420445829,5.04826484424029
,23,-5.66602910200072,434.637396580886,515.950917543508,385.369988562259,557.884149679431,833.867699505893,516.864002649324,26.408710670245,35.660399137636,452.810815668757,513.451038165421,472.831385305312,579.303841570973,588.637865208052,527.132911161028,537.737529249875,479.040701237786,-50.6692149395185,359.298865500351,662.666240555633,625.624839308816,576.376952383519,565.800021179357,578.365263679608,590.262927599808,602.592284641497,-65.7069744410742,471.926654645549,564.288075407142,556.2149727773,617.671604909758,652.871302702195,666.399613500665,626.827703944672,571.294222753413,-73.8889984968509,445.669906370298,615.601810007442,636.803664561805,690.845939730814,728.297001298077,692.09680489562,693.482117789119,826.618442525519,-20.9888735618119,187.927913278386,614.836389379349,585.204112549707,641.116408153628,623.984703286362,578.074834634052,614.4790713665,568.982195621375,-112.296186669126,125.697633026031,559.439891582773,689.852815716214,627.310321486104,730.703722845121,600.30741662352,664.973913371001,672.074144797649,128.534815666145,26.0883741610578,572.956950362325,561.325106694396,479.330607647669,509.778464733704,500.724327809802,386.826949073766,51.2030185488334,11.3722673874927
,24,-1.83506278951518,445.519104977553,523.237715523607,382.503989983788,573.171800730553,872.641924536158,557.041442358327,45.4504960242825,12.4594321627528,456.055679723575,515.352407330285,474.997072153678,579.386201368009,590.161665135611,532.802786985806,542.557166571843,505.579812569882,-73.3227599413044,362.602624750235,671.894231193762,630.474467299407,580.478510071781,572.004083776449,580.00991935999,594.97516653324,609.049251190304,-82.2219690903353,490.080522835698,566.801543149921,557.811191552717,620.3481322519,658.358372586819,670.575339645524,634.908054873164,580.012839242719,-77.7760116573049,447.273752084322,621.398533086685,639.714001607471,695.597090352374,736.180654346887,700.546187939274,701.146967737096,843.069839855224,-37.5339856430883,249.250467761662,620.05524351004,588.883240709307,642.359367511741,621.406600975114,576.446030824409,615.658825228098,568.472662151508,-125.18475829708,160.733595189553,562.819165117523,699.21566184576,637.152365977139,741.824719610498,601.597244133577,676.767484748392,688.267599851007,123.672216413851,31.587106050169,583.890545834204,569.553233992418,475.293323202856,509.599742564909,515.371881585723,384.891924286907,47.3030792536811,7.63981019611765
,25,-4.55655546717617,441.961352124818,518.576971826662,373.022549373687,579.040926360165,901.375931710474,581.196278692718,54.0753243000654,4.02800690074901,456.405905609806,513.95298529593,475.367384936486,578.286853670155,586.443564870303,529.51292894256,542.318212053089,525.502837848946,-131.125472951924,363.562752971584,675.789534177318,632.23522975099,580.882081423548,572.056268223161,579.429782768056,594.933108872402,612.283622593982,23.309323612636,504.659040323507,565.700047184457,556.139758470886,619.111115091858,659.205310997415,670.340043730648,635.670270301973,581.87290965495,-102.833617633205,435.413055390753,622.235236611333,642.798550175529,701.286384245156,741.300802139092,707.962368775733,708.110097278604,854.356875608767,-57.0405039552543,285.859471022754,619.996213982437,588.299945326576,639.808780072732,617.194046935679,572.817231159018,615.539529581603,566.520224336984,-134.623685882255,195.923821897108,558.949208673609,698.91156529071,639.321838259402,747.987452580645,598.109859562504,682.537928789681,696.982503447204,103.303922423999,37.9336549173627,586.191701273809,571.976573592678,471.432257986872,509.941335513451,523.328455680667,427.142047125459,39.9456521104435,4.60330633361764
