Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
G03,SYBR,,Unkn,118-2,12.13,N/A
G04,SYBR,,Unkn,118-3,11.61,N/A
G05,SYBR,,Unkn,118-4,12.28,N/A
G06,SYBR,,Unkn,118-5,11.88,N/A
G07,SYBR,,Unkn,131-1,13.35,N/A
G08,SYBR,,Unkn,131-2,14.04,N/A
H01,SYBR,,Unkn,131-3,14.50,N/A
H02,SYBR,,Unkn,131-4,13.72,N/A
H03,SYBR,,Unkn,131-5,13.75,N/A
H04,SYBR,,Unkn,132-1,13.37,N/A
H05,SYBR,,Unkn,132-2,12.63,N/A
H06,SYBR,,Unkn,132-3,12.42,N/A
H07,SYBR,,Unkn,132-4,12.90,N/A
H08,SYBR,,Unkn,132-5,13.16,N/A
