,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6
,11,5.60239337621078,0.642440010396513,1.76346958867362,0.902538643800654,2.57243668300271,3.86326197972812,3.10536294520762,-1.15669720562255,4.67211092144362,2.48467805901282,3.45594909699639,0.402736789701521,3.01165437578356,0.971319687010691,1.260306853369,2.10506461253453,3.37885726315653,-0.0416126175427962,5.48940551620353,2.0756803090776,1.42828869369214,-0.269251394292951,43.8012384266781,3.10760119428915,5.56539608666708,3.19830719786978,0.84039107496983,6.31409997577975,-0.955749932700655,0.253606701279296,1.76422575025572,2.18216436855846,8.80476418766193,3.76051276610269,2.48973960582816,9.90649612955031,0.824846938874543,-1.147302318931,0.573309370330207,-2.82043532704165,2.94439735102878,3.75123818067959,2.71433512668773,2.32213945561261,4.03068698342076,-2.49136954061623,1.08346086162373,8.41624095369662,3.10328724574401,-5.07974303460969,5.29505258467134,-0.525477573246008,3.72247887323601,2.95502413781333,3.53853255262629,2.19181292096937,105.298177642645,-0.359744967406186,1.96666203217592,3.40626564837794,-1.08049597402851,1.73782804066741,3.60894811836079,3.51740571619348,-1.12373197726856,-2.47607197567868
,12,6.5442979673785,1.73671748229253,0.360990874574782,0.075765965926621,2.72102342225298,5.44816589134962,2.48794646896204,4.22750441401513,4.94154003708309,8.1992557131075,3.94420299237299,3.00229952152722,-0.468665228754617,5.99157272211369,1.91551985235674,1.08867123665232,3.41671383032053,-1.12484617168002,3.84347440033298,-0.120428872431603,4.69628608877019,4.67042371503567,45.9933542647042,5.72944137886088,2.59573953818654,2.13078075971362,0.60250264872775,4.99817029219366,-0.17314558459384,1.63960238011077,1.322092942572,3.80280807019335,4.54704648878214,6.21358576519515,4.73416228926135,6.68200300920535,0.960107992519625,1.04315841233893,4.99932700554018,-4.42484094695646,2.59813668669358,0.490319709052983,0.077257551837647,6.01845391520465,2.79388644624578,1.27176575964222,3.80055102405595,7.80155199656338,3.1429954087962,-5.23440588377495,-1.56626474085442,-0.851959497982534,3.76444716901142,-1.72300889053395,-0.343044929127245,2.46549644599372,106.293959661908,-3.81940687161432,2.29640217185579,-0.868012046486911,0.217163154752143,3.59699828836256,5.22886763441511,2.16854147227832,2.10053425487467,0.909090530482445
,13,6.75672624916706,0.183766625349563,1.78866943330831,7.7012115919656,1.33297341748766,8.3717062875553,1.06486970205196,2.99002698253753,1.31401827926993,4.29180159382804,6.79270427158644,3.91463639014091,0.324798684797315,2.55320025792162,1.83349970830795,2.67928105883311,-2.3519988658777,3.908572720949,0.99047406138061,2.99302953118922,2.94132342037483,3.70672376439325,47.1935887218259,4.07566366862375,5.32355803495193,4.06842263393173,-0.273151834364853,2.04224130184411,-2.07342736265173,1.59995595727469,4.45480093365313,2.82733465112506,6.23080970648743,0.494079197437713,5.15779657948724,7.36042429613235,1.37086514824841,3.18964124086324,3.23024585403664,1.0579065627312,-0.418143138362211,0.48256310559691,0.293771500686489,4.23773449728697,2.56528540988393,3.12213195810955,-0.344325222612497,5.65072463590604,2.43156677794195,-4.07388491933822,2.17785780140775,0.991591740783861,0.0901205832378764,-0.792828776112401,2.01287928447937,2.61241264757655,109.567323058489,0.899360431687001,2.35158580014195,0.384327876422503,1.94351208743865,1.09672880980588,2.7826216549488,2.50964677262755,4.06377727986319,-0.783645765889105
,14,10.5876843796214,-1.29437510246544,5.88173727842786,2.70982410805254,2.42902080807153,11.4659551815043,5.37167324628717,6.40158038531172,1.93559935557732,5.71820982980626,8.42877027350187,3.8876077036366,0.222881559616326,1.72668961446061,0.29750524258543,3.21867239985113,1.6016861351527,5.22764293383489,4.34606289287558,2.47116380858142,4.5088572685645,4.50894634344058,49.1048314814416,8.08013744985601,3.66535076203672,2.82433582494332,1.60726067907126,4.32099625176352,2.98605071641123,4.32439686708767,6.58009728557954,4.08121396291108,7.93325397158424,4.11344090758303,7.80972076664557,11.1161330004702,3.61876159274834,2.94085547960503,2.94297054328581,1.88350488664537,1.96165983471201,3.99508267780493,1.61830605159639,5.37823655128841,6.25801079573921,1.952521932114,4.66197386754266,9.19683851638911,6.85686916709847,-2.76715964820141,0.675185813015105,0.766029800767683,6.04480396105737,4.97166769266505,1.90888729193603,4.28076155930876,106.975639742535,-2.64683923283428,7.1069803229766,6.99732295102604,5.15094062212074,4.46305763292912,5.54707058884514,3.80700783899874,1.3058837783633,3.29850483819246
,15,9.21718345439376,0.605816559693722,5.87851466718166,8.47050576534593,3.98668717302826,9.62313698768276,4.22906917129285,4.00419201774548,8.03527956009566,6.64573664506406,6.8252324996929,6.87157772047613,-1.75294708199181,7.53572246250633,1.79161451160007,4.18540687003679,-1.16693346174361,3.85633889414339,3.5724413742164,6.75104282207076,2.81566947774536,1.70959024172271,50.4517406120452,8.07780358698665,6.93053526704989,3.56573375508287,1.11934822475905,4.44541786959098,2.82748534576649,3.96011267096355,6.02738364578317,2.36706948757774,7.727696379186,0.408589621492411,5.50866157036262,8.03780622242675,6.6555766551046,2.85020790892895,4.53061967620761,1.20778168608149,4.84384341868736,2.28694841781271,4.79274531743704,5.18808226715646,1.96943553187702,0.535963838085991,0.747833235031067,5.7059072899815,5.37535731784965,-1.10533150984368,3.21699811244616,3.22010692689901,1.97037833986678,3.27725325852361,3.56942039766182,1.50745345313408,113.144035804236,-3.67856625446302,5.15335880357816,4.87681145254055,3.39306025660107,6.43865589887128,2.46455299123909,5.54557132034006,4.04483230479127,2.54597678504706
,16,10.5278936003679,1.81844114859041,2.72220071367747,3.89413639414033,1.58888362571815,6.96705244111854,3.1033608762491,8.42447074862821,5.79807865235989,5.46327327937388,4.05378619246949,3.46646902758903,0.615900599240376,6.73352762651439,6.73099121360747,1.74017032709344,1.68499437247783,3.61446856090788,4.41833162873627,2.42009758417544,3.15731560395898,1.47865200694469,51.49184784583,6.77563463512888,6.41618176267093,0.231724906372165,0.390347071853284,2.45594295872115,-0.403145533819952,5.79779607865248,7.45789978116045,3.58847237630744,3.90695012959804,3.58446919099242,1.77098905038201,9.62655581484705,5.64509977496346,4.63228220759356,4.53297007349056,2.94602364567663,0.365820587927828,3.88546466685966,3.63706496208806,-0.692549893369687,6.05289942180889,0.742012502194484,0.419568248837095,1.34719600450126,1.97472515859863,-1.45566374847522,0.503854793812934,5.60645930328747,1.7759829487909,0.139657047632681,5.72345761453425,3.93144180541412,112.932838841285,-0.977550722483102,6.54883845009681,0.94529392983759,5.83286464901903,4.61268119272427,3.39984403441713,2.57292382555761,0.181956304694268,5.62756046365575
,17,6.12036990900651,-1.80955359068776,5.00106274450854,6.08000920644236,2.93017339860535,9.48860755364967,1.32336132352475,-0.435870629780311,5.86288004861171,5.76937801368149,11.3750058338378,6.1288334113874,-3.01853408492798,5.24980324328362,3.69734348355405,-1.21289769445639,-1.93045435760541,2.17005885859226,0.416274584234088,-0.36290397430048,2.97448700430232,0.875158698509495,52.6463986878422,9.84625646425002,10.2875197470239,1.88854964770735,1.83450772891365,4.26039860877881,-0.709664562505623,6.17345612524787,7.57083735743208,1.62984433845622,4.82375683357805,-0.0575892577126069,4.1790455410769,9.1880973046791,9.54967229964541,3.9134944443008,1.32584238426034,2.69036498878904,2.88015577760643,3.00433414912004,3.47129267041873,0.735946568097006,1.40043006862334,2.52581997506877,2.97899919990323,1.28611908452467,5.58565265871857,1.16051320939778,-0.749434483059758,1.79709279692679,0.43519198430613,0.013140637036031,4.1065631807528,1.64911401123027,115.674253177589,0.636056479702347,4.91480292124015,0.861533520161174,4.23935007340424,4.87079194990201,4.36414135323184,0.728268194902284,3.11254596293475,4.56033599415832
,18,6.57252917737696,1.28049459169597,6.57617981964995,6.36103365534336,1.63966504199743,8.33928828427088,2.90938438088915,5.01211500301361,7.61490608710346,8.33133275962837,8.35381406487932,5.83916494277037,-2.50920541070127,4.61629444022401,5.56590599212041,3.77383939043648,-1.18852979127178,4.85254725404366,1.97414742313185,6.15906267804303,4.64304976233143,2.58710824087166,54.3610189099243,3.93317134775907,5.86076215238018,2.27836122157623,0.201795580776434,3.48690072383215,-0.231352127298123,4.06883658554716,6.14222391832709,-0.0301160800349862,1.56181255439787,0.258390199835958,4.15470588636117,7.76074822896953,4.57511923319544,1.70592195121117,0.587669813874982,2.51014146536227,0.855164221731229,-0.0126213831158566,1.73139562865435,-0.696849592854505,5.74279116870957,5.76479989851305,5.194047223903,6.35737027703908,3.9783752714161,1.30725390439632,-0.761064739144331,2.95974173361492,1.92152651423157,1.81516660736861,4.54092609248346,1.65963444029467,116.516100548833,-0.252649264584761,5.76219527444891,1.91913789468572,2.14989034018163,3.03809293125823,0.717728204273953,3.97540298476315,1.78006469928687,5.89793983784421
,19,7.59168124359303,5.56707905921576,2.2725352599623,6.606532304952,3.54006176747635,7.95535094026263,-0.711355596667545,5.98400335625001,5.67013650760009,7.15026068632687,12.3544581376077,7.52793250680634,-1.05810014103963,5.35133094847106,0.0532212586640526,5.84504633285951,-1.57961540238421,3.52302458003942,4.4369524462104,3.48587489755027,3.0551787205759,4.66697554999064,56.6465090148231,5.22372315307257,5.61030717079575,-0.244235304851372,1.53876455780573,4.22529106861566,3.04461983681767,5.53724948180297,6.32906163994494,2.21708747763478,5.5415657505373,0.424950761412674,3.14466851276575,8.04221565966282,5.50076309960332,7.88764826066063,2.03885014974048,5.5764858430116,4.48854914953836,1.76584319372796,3.21338514966692,1.32951560425545,4.62002310435355,3.37463669375666,3.83780000702973,-0.164385020899772,7.39513818765272,1.38581227300604,2.34940514134814,2.34964351573353,0.566852705763267,5.41528387199469,2.04198982704247,1.86552841482171,116.592098437493,4.3172483597109,10.539369702612,5.77911102406733,0.994677602563115,6.42844855952035,4.71174828038284,0.445987676193454,3.19016408535208,7.04097332523497
,20,7.39434863595625,4.26999344044634,3.07078913667647,6.85346235409361,1.16947631593803,3.42596036095392,0.522515989547628,6.21076298635035,8.9423560737323,7.86316464683023,8.9878807640207,12.574747761153,-3.30434413653302,4.92325215959863,4.80534658349279,0.991474527493665,-0.117629694519565,4.30602761957789,3.93681120560268,2.51550868211052,5.28945593665321,2.86727570792937,59.1716212028969,8.15105845926018,3.00913743090314,2.15719196217742,3.10573872361101,3.35121545806624,1.86030574901633,8.71698532150458,5.0971355674169,6.56655341915803,8.45123508048891,0.402920721971896,3.84847789480682,8.49830398398035,7.43348227369006,3.69708274477671,3.25563177051572,5.99289617205022,-1.52474558435051,3.50828927408429,1.85551772297094,4.64754187622339,2.92729472828523,3.26979616067229,2.51471741717978,6.53111040192653,9.72796494881413,-0.531334908118273,2.3309012661648,5.31144461113217,2.71297790358039,1.89348862191628,0.670002349410879,1.14918353551002,121.776578201459,2.22251517601444,9.41761850520061,0.976817226806816,7.8834377293615,3.59760526289392,0.011154841267853,-1.5713144931542,5.34361226582996,7.49594704558194
,21,4.64789826062088,3.87727879593695,4.13294207484705,6.09154683040333,1.54571493231333,8.91282203046922,2.69938384900433,1.70361187858316,8.42069234555674,7.50395558989521,8.18880471072134,7.5711714823783,0.619736059205479,5.17919164428849,4.37102180064949,-0.170974803115769,-1.02633387305923,3.97544010935508,2.15152731315902,3.85228431459154,3.08759965572472,6.40605327831418,59.490564912287,4.10272110002825,5.14401200615657,2.74089538883254,2.60768268370111,4.19675224602997,-0.671444158313079,4.36193390787503,7.45336581360471,1.26071377426297,4.48646329636222,2.00940253415047,-3.83581355382057,9.43588489880312,8.19335592475818,5.5805044016256,0.215731556409082,4.11231190690387,1.88299117068846,6.30694997600403,1.10426578881106,1.24195031954878,4.28372190077789,7.36758798463643,1.06306422598482,2.56098759513998,4.94847864516942,-0.330239447666221,1.02538718171127,6.25497926124672,5.4291327165829,3.07518988668062,2.06815006889383,5.15471805192738,119.629955788942,2.72585740868271,8.79633515472324,4.25544668237399,4.50161974019875,0.353643615328565,-0.906148743277299,-0.555955339179491,4.83661689972905,3.41460857212087
,22,3.14204396453852,5.01575857451508,2.87084530494349,1.89083851188934,2.91432894712216,4.55841478711454,5.68776947088554,5.71074703985369,6.1904705783345,6.31170555275912,3.39304776634663,5.86006475138811,0.308776663590834,8.46252374491451,7.17809110009921,3.13076786352121,-1.19883487341804,3.62748616083991,3.91957009109092,5.54438578779764,2.8889431250941,3.17620530798149,58.9985668729852,5.67681175448251,7.48621206457528,2.2219466313777,2.47225327264596,3.810956499653,1.30203829447601,4.77048502913294,5.66728707369384,6.22915541737575,6.021705763113,1.06232211958104,8.72756534262362,7.71583323580398,4.727492663259,8.0879738196877,-3.21080151529122,7.81674143550663,-0.196945982177567,7.37355730113313,11.3263747003375,5.22593676796805,4.50529467154638,6.63549056663533,2.92477962041812,6.04108480499053,5.92785318638153,-0.0680839453198132,2.34759919720091,7.11652788864603,6.6632507948907,5.11837000158766,7.21360415854997,4.60052350726664,123.548377265543,2.76435730411322,12.9943220943792,8.61214847447354,6.75758845675182,4.46089113351718,3.21019184062652,-4.30793932028791,3.0740028440664,9.64075398733257
,23,1.16604904869064,4.84796050296609,-1.84259508511468,3.20965183538647,-1.12833670841019,4.28307306827992,-3.54470594186296,4.21218209686776,7.37858480113437,5.46301646648681,0.640307326568745,5.39148993611934,-4.30811602171889,2.96563011589751,-0.0356676041069477,-1.15703962652196,1.14570364857445,1.67573945733875,-3.1778618914559,3.91079562634059,-2.6779812879463,3.70199687940567,58.278155663693,6.10868903385153,4.77970713140257,3.4483196679239,-1.22696124182085,3.53147201133015,2.99905506673986,4.28832446091837,-0.977276340997832,-0.631887670044762,4.71914555624289,2.57450642713729,2.53306234053116,2.50539860125582,7.08316929728062,1.85518419355776,-3.41647179441725,6.77022182672363,2.40533569718218,5.27250506628161,5.16888204887255,2.92084939482675,2.5294052659483,5.96651129981819,2.25760431845902,2.07492634877462,2.47765023003512,0.140849291112014,3.77728941008991,5.58411069162503,5.79063595500065,3.0907936105782,4.79813125022247,-2.95102698298069,125.050652072297,2.52799591611665,2.17441055379777,2.12467961543507,3.18801497488494,1.90795444858031,-0.246191454087693,-0.341740574973755,2.33925755926612,2.36102275815756
,24,3.9703711476941,-0.635091752912558,1.27873116407591,2.75701210693614,5.10355876280664,3.6763870314312,1.19512202616579,3.38259559565995,3.28146758697449,3.29562912883966,4.70978201456364,5.50127398160203,-0.190861691545706,5.79320477488409,0.814494068448766,1.99065047810245,1.40774691486013,1.17854602611214,-4.28703124439562,4.70188149683372,-1.15277889499066,1.26902200757559,58.5235971871292,2.30631522321664,3.13559327314579,0.113819594736015,2.3033785581365,0.505022308124808,4.80401169248853,6.69634094020284,1.49790018232397,5.07623934810454,5.42102881165511,1.20524190109245,1.83460291202255,5.00696707468751,5.49511261158887,2.56589925194612,-0.924075942137733,7.14251321076063,2.51831559731681,4.07806340826119,9.09906357022692,3.76048854980172,4.51342091957895,4.21844237445885,3.43524670281704,5.63424957350071,7.54973819816587,0.0628499023296172,3.21170588765517,8.63705480385943,6.68681274438541,-2.62475690403835,-2.20594420186808,7.08807874635386,125.422248950906,6.91290751041925,5.78063892869659,1.45497921836204,4.90353427747641,3.70632415842738,0.37766817891179,-0.299771331100146,4.09588006082868,4.11964595153586
