sample,date,total_auc
018_10,2022-02-24,132.63795000000002
031_01,2022-02-24,3399.663615
031_02,2022-02-24,3045.590895
031_03,2022-02-24,2829.766425
031_04,2022-02-24,5666.06878
031_05,2022-02-24,1472.06047
033_01,2022-02-24,1350.1164
033_02,2022-02-24,1314.2115649999998
033_03,2022-02-24,1082.693635
033_04,2022-02-24,1351.4011699999999
033_05,2022-02-24,1386.624615
041_01,2022-02-24,132.50319499999998
041_02,2022-02-24,118.79593
041_03,2022-02-24,150.3584
041_04,2022-02-24,146.76440000000002
041_05,2022-02-24,121.08085
050_01,2022-02-24,125.9828
050_02,2022-02-24,130.396095
050_03,2022-02-24,146.3645
050_04,2022-02-24,130.0599
050_05,2022-02-24,55.51746
050_06,2022-02-24,132.70013999999998
061_01,2022-02-24,2525.2061049999998
061_02,2022-02-24,2327.7785249999997
061_03,2022-02-24,2596.224385
061_04,2022-02-24,2600.95796
061_05,2022-02-24,2615.926235
092_01,2022-02-24,3690.10135
092_02,2022-02-24,4104.5065349999995
092_03,2022-02-24,3188.02787
092_04,2022-02-24,3074.1818650000005
092_05,2022-02-24,4505.902335
096_01,2022-02-24,2091.7339249999995
096_02,2022-02-24,2086.29664
096_03,2022-02-24,4038.7656099999995
096_04,2022-02-24,1857.939365
096_05,2022-02-24,1887.73276
10000ppm_01,2022-02-24,455.74506
10000ppm_02,2022-02-24,336.95975
10000ppm_03,2022-02-24,679.86525
10000ppm_04,2022-02-24,167.502985
10000ppm_05,2022-02-24,577.393005
10000ppm_06,2022-02-24,140.255525
10000ppm_07,2022-02-24,194.557085
1000ppm_01,2022-02-24,48.30344
1000ppm_02,2022-02-24,41.76251500000001
1000ppm_03,2022-02-24,45.131949999999996
1000ppm_04,2022-02-24,56.415715
1000ppm_05,2022-02-24,21.243319999999997
1000ppm_06,2022-02-24,76.79438
100ppm_01,2022-02-24,8.89221
100ppm_02,2022-02-24,9.140175
100ppm_03,2022-02-24,9.5508
100ppm_04,2022-02-24,9.090914999999999
100ppm_05,2022-02-24,8.579094999999999
102_01,2022-02-24,140.325345
102_02,2022-02-24,143.97775000000001
102_03,2022-02-24,121.3017
102_04,2022-02-24,120.22883
102_05,2022-02-24,128.504115
103_01,2022-02-24,1917.542535
103_02,2022-02-24,1555.60764
103_03,2022-02-24,2020.710685
103_04,2022-02-24,1696.56532
103_05,2022-02-24,540.002525
103_06,2022-02-24,498.549435
105_01,2022-02-24,105.44051499999999
105_02,2022-02-24,117.34529
105_03,2022-02-24,123.546925
105_04,2022-02-24,54.030985
105_05,2022-02-24,139.14918
109_01,2022-02-24,2443.3147350000004
109_02,2022-02-24,2037.55562
109_03,2022-02-24,3421.9053349999995
109_04,2022-02-24,2207.3680050000003
109_05,2022-02-24,2506.68059
