sample_no,cc_treatment,drying_treatment,pre_post_wet,leach_nh3_per_median,leach_no2no3_per_median,ext_nh3_per_median,ext_no2no3_per_median,ratio_nh3,ratio_no2no3
19,no_cc,two_wk,pre,0,5.284999999999999,2.835020845741513,6.702402223545761,0,0.7885232523696682
20,w_cc,four_wk,cw,0.5748663101604278,0,3.1324345757335452,188.1126090404441,0.18352061192716437,0
21,no_cc,four_wk,pre,0.5393949468085107,6.87998670212766,4.278330019880716,8.159045725646124,0.12607604937020486,0.8432342376145743
22,w_cc,two_wk,post,4.1916167664670665,32.493346640053225,20.726046419361236,39.83336639555643,0.20223908996707968,0.8157318745642845
24,w_cc,two_wk,cw,0,66.18770764119601,6.0144927536231885,119.95169082125604,0,0.5517863665617228
25,no_cc,two_wk,cw,0,4.362549800796812,2.3206834889727794,8.0747069342340545,0,0.540273453430373
26,no_cc,one_wk,cw,0.0382313829787234,4.832114361702128,2.450119712689545,8.068635275339187,0.015603883671772125,0.5988762903276722
27,w_cc,four_wk,cw,0.4069767441860465,0,2.87027783330002,205.39676194283433,0.14179001749044504,0
28,no_cc,one_wk,cw,0.1601067378252168,5.156771180787191,2.2836681917644714,7.161328824348518,0.07010945740830705,0.720085797939367
29,w_cc,initial,initial,5.044880319148937,2.782579787234043,34.969963956748096,4.132959551461754,0.144263240459401,0.6732656713879269
30,w_cc,one_wk,pre,2.2347480106100797,11.414124668435013,17.783113245298118,27.635054021608642,0.1256668604526235,0.41303066241556763
31,w_cc,one_wk,post,2.5366666666666666,24.275,9.06099518459069,39.61476725521669,0.27995453203424864,0.6127765397082658
32,no_soil,no_soil,no_soil,0,0,4.739130434782609,0,0,NA
34,w_cc,one_wk,pre,2.138814913448735,13.560252996005328,8.777206173328056,24.54293628808864,0.24367832670355968,0.5525114369704203
35,w_cc,four_wk,pre,3.1000664893617023,16.94148936170213,28.656118565992383,53.186461045463645,0.10818166047933311,0.3185301113984739
37,w_cc,two_wk,cw,0,49.85723771580345,4.851623182632942,79.05994821748655,0,0.6306257319907526
38,no_cc,four_wk,cw,0.3514323784143904,4.835109926715523,3.133971291866029,8.564593301435407,0.11213643830321769,0.5645463545718125
41,no_cc,one_wk,post,0.599269588313413,6.0839973439575035,1.4271397073561836,9.885748647023453,0.4199095472044407,0.6154311181874287
42,no_soil,no_soil,no_soil,0,0,7.021897810218977,0,0,NA
43,no_cc,two_wk,post,0.511325782811459,7.188540972684876,2.2637013502779983,10.079428117553615,0.22588040721390418,0.7131893683696027
44,no_cc,all_dry,all_dry,0,5.823353293413174,3.650159744408946,9.376996805111819,0,0.6210254108478105
45,w_cc,four_wk,post,2.1837549933422107,24.950066577896138,22.97378427056234,52.519511707024215,0.09505421342971276,0.4750628055545915
47,w_cc,two_wk,post,2.9308617234468937,22.832331329325317,13.709935897435898,36.883012820512825,0.21377647170436723,0.6190473495328697
48,w_cc,all_dry,all_dry,3.7042581503659346,13.406520292747839,46.063511084481725,47.038146594767326,0.0804163222289379,0.2850137869641153
49,w_cc,four_wk,post,2.424899866488652,28.86682242990654,12.528965241709948,35.613264083100276,0.1935435065631727,0.8105637933818273
50,no_cc,one_wk,post,0.45016611295681064,8.642857142857144,0.743851229754049,9.40611877624475,0.6051829921766158,0.9188547740524784
51,no_cc,one_wk,pre,0.17666666666666667,4.591666666666667,1.0398888668386586,6.4377852748561235,0.16988994910941474,0.7132370016440607
52,w_cc,initial,initial,2.0129224652087476,3.144466534128562,14.12742382271468,5.650969529085872,0.14248333528242313,0.5564472641276524
53,w_cc,four_wk,post,1.501996007984032,18.735861610113105,9.20736589271417,37.62209767814251,0.1631298273019179,0.4980015141738938
55,no_cc,all_dry,all_dry,0.2548301132578281,6.92871419053964,3.041825095057034,8.845307184310586,0.083775399733511,0.7833209233060313
56,w_cc,one_wk,pre,1.790226063829787,10.954122340425533,7.635853218367756,18.768798877080407,0.2344500362478768,0.5836347020480998
57,no_cc,all_dry,all_dry,0.16966067864271456,7.000998003992016,4.251401120896717,9.151321056845475,0.039907003319162054,0.7650259411186376
58,w_cc,all_dry,all_dry,2.5332667997338656,13.666001330671989,19.616460247702758,32.009588493807435,0.12913985335506853,0.4269346147113328
59,w_cc,one_wk,cw,2.1750663129973478,24.094827586206897,10.32180691585049,37.3615830501699,0.21072534399546342,0.644909171912011
60,w_cc,one_wk,cw,1.920120320855615,24.769385026737964,12.053712480252765,37.06161137440758,0.15929700695958116,0.6683299540462545
61,w_cc,one_wk,post,1.9102990033222589,23.03156146179402,4.849451645064806,35.33399800598205,0.3939206209564608,0.6518243833572066
62,no_cc,two_wk,cw,0,4.615768463073852,2.3487544483985765,6.7457493080268875,0,0.6842484433243712
63,no_cc,all_dry,all_dry,0.39192795196797864,7.239826551034023,3.927214557088582,9.08618276344731,0.09979794744357745,0.7967951712526662
64,no_cc,two_wk,cw,0,5.967311541027351,2.4491424012764256,9.908256880733944,0,0.6022564425666495
65,w_cc,two_wk,pre,0.2154308617234469,11.432865731462925,7.669263031755542,20.66706610744957,0.028090164704408817,0.5531924885720416
67,w_cc,one_wk,cw,8.908427339084273,41.42335766423358,44.6921997192701,71.46581110888309,0.19932845988878892,0.579624816699026
68,w_cc,all_dry,all_dry,1.7444963308872583,13.118745830553701,24.11364545818327,36.42256902761105,0.07234477814283537,0.3601817823616095
69,w_cc,four_wk,pre,2.17854763491006,9.338774150566291,13.974461292897047,22.68156424581006,0.15589492784364964,0.4117341312688093
70,no_cc,four_wk,cw,0.4780876494023904,5.874833997343958,2.311817279046673,10.867924528301888,0.20680165934201342,0.5405663226722739
73,w_cc,one_wk,cw,3.3266932270916336,27.270916334661358,18.608381792660918,45.79907760176459,0.17877391296881442,0.5954468465891252
74,no_cc,four_wk,post,0.18142476697736354,9.791944074567244,2.066479775730877,11.910292350820987,0.0877941168880769,0.8221413703495093
75,no_cc,four_wk,pre,0.5627922511690047,6.736806947227788,0,9.227082085080887,Inf,0.7301123892807259
76,no_cc,initial,initial,0.25747508305647837,4.908637873754152,2.7201257861635217,6.588050314465408,0.09465557966700593,0.7450820257058809
77,w_cc,two_wk,cw,0.6299867021276596,42.40192819148937,3.3975903614457823,72.93172690763052,0.18542161800211263,0.5813920770749369
78,no_soil,no_soil,no_soil,1.7372881355932204,2.115617433414043,6.3003663003663,0,0.27574398896334257,Inf
79,w_cc,one_wk,pre,0.9523015343562374,6.170780520346898,3.9935974389755904,16.51060424169668,0.23845706757076526,0.3737464983118492
80,w_cc,four_wk,pre,2.530040053404539,9.514352469959945,13.859649122807017,23.907496012759175,0.18254719372665662,0.3979652434065967
81,no_cc,four_wk,pre,0.5824432576769025,6.141522029372497,0,7.993592310772928,Inf,0.768305636640437
82,no_cc,four_wk,pre,0.6866666666666666,6.65,0,8.095904095904094,Inf,0.8214030108588354
83,no_cc,initial,initial,0.36164565361645656,5.084605175846051,1.9169329073482428,6.070287539936102,0.18865848263658483,0.8376218000209549
84,no_cc,two_wk,pre,0.9497671324018628,4.931803060545576,3.8626781770728766,6.28789399718932,0.2458830606285696,0.7843330474003037
85,no_cc,two_wk,post,0.678475935828877,5.7703877005347595,2.694466720128308,9.587008821170809,0.2518034202317291,0.6018965673414343
86,no_cc,one_wk,pre,0.18858477970627505,5.293724966622163,0,6.234076433121019,Inf,0.8491594582474377
87,w_cc,one_wk,pre,1.3968624833110814,8.481308411214952,6.227354170814255,20.497710531554848,0.22431074979768417,0.41376857177090814
88,no_cc,four_wk,cw,0.30313124583610923,8.477681545636242,0,11.512,Inf,0.7364212600448439
89,no_cc,two_wk,cw,0.8622414943295531,5.290193462308205,2.066479775730877,9.122947537044455,0.417251358786995,0.5798776591476552
90,no_cc,two_wk,pre,0.9022681787858573,6.987991994663109,2.8157842554035293,6.408883601031132,0.3204322834941605,1.0903602608009302
91,no_cc,two_wk,cw,0.6854569713142094,6.7611741160773855,3.1300893743793448,8.047666335650446,0.21898958442684288,0.8401409593891817
93,no_cc,four_wk,post,0.3487983978638184,8.477970627503337,2.504500900180036,10.898179635927187,0.13926862547294155,0.7779253885258659
94,w_cc,two_wk,post,1.941860465116279,21.073089700996675,11.558598469593235,28.111155859846964,0.16800137752208083,0.7496344087045091
95,w_cc,four_wk,post,1.9790279627163783,20.770639147802928,12.728,39.12,0.15548616928947032,0.53094680848167
96,w_cc,one_wk,post,2.5183211192538306,29.00566289140573,7.410358565737053,33.34661354581673,0.33983795749070506,0.8698233435774001
97,no_soil,no_soil,no_soil,1.7223572296476304,2.135479951397327,4.64,0,0.3711976788033686,Inf
99,no_cc,two_wk,post,0.48537234042553196,7.199135638297873,0.7441488297659532,11.40228045609122,0.6522517015557081,0.6313768255412467
100,w_cc,two_wk,pre,2.000998003992016,10.026613439787091,12.701459708058389,24.73105378924215,0.1575407905850767,0.40542604958259415
101,no_cc,one_wk,pre,0.21180787191460973,6.6711140760507,0,6.293206197854589,Inf,1.0600501344330562
103,w_cc,one_wk,post,1.3049267643142477,16.729360852197072,2.189372752696764,19.168997203355975,0.5960276808537521,0.872730100313657
104,no_cc,one_wk,cw,0.22802929427430096,5.367842876165113,0,7.6993803717769325,Inf,0.6971785542433558
106,no_cc,four_wk,pre,0.5003324468085106,7.569813829787235,0,7.92,Inf,0.9557845744680853
107,w_cc,two_wk,cw,0.915282392026578,36.842192691029894,5.927395358063875,50.52172188057925,0.15441561372844648,0.729234699840905
108,w_cc,four_wk,post,1.235823882588392,20.953969312875252,5.288595965648093,32.23487118034752,0.23367712160574314,0.6500404234793455
109,w_cc,one_wk,post,1.6677740863787376,26.506644518272424,8.05262108829978,38.66852700817221,0.20710947008322098,0.6854836883926431
111,no_cc,four_wk,cw,0.28276779773785765,7.105788423153694,0,11.485782939527434,Inf,0.6186594732431929
112,w_cc,initial,initial,1.93687707641196,2.561461794019934,12.34111021721641,4.843121480289621,0.1569451242490265,0.5288865465061093
114,w_cc,two_wk,post,1.6955941255006675,13.319425901201603,8.729719034428175,35.148397309062126,0.1942323823726286,0.37894831403216
116,no_cc,two_wk,post,0.5557409879839786,7.535046728971961,0.30194676201827575,10.528406833531983,1.840526403625887,0.7156872685593368
117,no_cc,two_wk,pre,0.4013990672884743,5.338107928047968,4.429342394563263,6.204277433539875,0.0906227226373753,0.8603915581193295
118,w_cc,four_wk,pre,1.995016611295681,10.564784053156146,13.192338387869116,28.10055865921788,0.15122539709337496,0.37596348817394626
119,no_soil,no_soil,no_soil,1.4142335766423357,2.1380778588807785,3.2673992673992673,0,0.4328315767078001,Inf
120,w_cc,four_wk,cw,0.40306462358427714,46.97534976682212,0,77.58035536035136,Inf,0.6055057307823264
121,no_cc,two_wk,pre,0.23317788141239176,5.551299133910726,4.315452361889512,5.484387510008006,0.05403324190799208,1.0122003822269339
122,no_cc,two_wk,post,0.7533333333333334,8.086666666666668,0,11.363817097415508,Inf,0.7116153487287148
123,no_cc,four_wk,cw,0.4360852197070573,6.862516644474035,0,11.62064825930372,Inf,0.5905450790131066
124,no_cc,one_wk,pre,0.16766268260292166,5.791832669322709,0,6.899024098785103,Inf,0.8395147757698995
125,w_cc,four_wk,pre,1.7578385590393597,12.661774516344229,8.394963022186689,25.920447731361183,0.20939205502080752,0.4884859493003561
126,no_cc,four_wk,post,0.3271028037383178,8.648197596795729,1.5301421990787103,12.321249749649509,0.21377281401379852,0.7018928901300565
128,w_cc,all_dry,all_dry,3.363273453093812,15.535595475715237,28.132746901239504,29.156337465013998,0.11955012658026755,0.5328376890395475
129,no_cc,one_wk,cw,0.22000000000000003,4.198333333333333,0,8.581847649918963,Inf,0.489210890777463
130,no_cc,initial,initial,0.44696464309539696,4.051034022681788,2.2253464551114686,6.426993372163085,0.20085171100830154,0.6303155749666444
131,w_cc,two_wk,pre,1.7114873837981406,9.433930942895085,18.463980948600916,26.552887477674144,0.09269330317023676,0.3552883260182984
132,w_cc,two_wk,post,1.3554817275747506,23.06644518272425,10.86045118786185,33.2281892593332,0.12480897009966774,0.6941830324457209
133,w_cc,initial,initial,1.4769692923898532,4.265687583444593,8.652339827274552,4.940751154850372,0.17070172021376695,0.863368230811814
